,train,val,test
189,BRACS_1847,,
190,BRACS_1942,,
191,BRACS_1852,,
192,BRACS_3282,,
193,BRACS_3292,,
194,BRACS_1003716,,
195,BRACS_1003675,,
196,BRACS_1267,,
197,BRACS_1386,,
198,BRACS_1385,,
199,BRACS_3277,,
200,BRACS_3275,,
201,BRACS_1003715,,
202,BRACS_1269,,
203,BRACS_1507,,
204,BRACS_1405,,
205,BRACS_1403,,
206,BRACS_1973,,
207,BRACS_1513,,
208,BRACS_1401,,
209,BRACS_1998,,
210,BRACS_1003714,,
211,BRACS_1378,,
212,BRACS_1658,,
213,BRACS_1641,,
214,BRACS_1003713,,
215,BRACS_1981,,
216,BRACS_1261,,
217,BRACS_1296,,
218,BRACS_1585,,
219,BRACS_1584,,
220,BRACS_1978,,
221,BRACS_1979,,
222,BRACS_1632,,
223,BRACS_1614,,
224,BRACS_3322,,
225,BRACS_1579,,
226,BRACS_1601,,
227,BRACS_1820,,
228,BRACS_1238,,
229,BRACS_1840,,
230,BRACS_762,,
231,BRACS_1509,,
232,BRACS_1923,,
233,BRACS_1862,,
234,BRACS_1515,,
235,BRACS_1921,,
236,BRACS_1970,,
237,BRACS_1835,,
238,BRACS_1816,,
239,BRACS_1919,,
240,BRACS_1950,,
241,BRACS_1999,,
242,BRACS_1929,,
243,BRACS_1771,,
244,BRACS_1490,,
245,BRACS_1903,,
246,BRACS_1931,,
247,BRACS_1247,,
248,BRACS_1489,,
249,BRACS_1928,,
250,BRACS_1874,,
251,BRACS_1003697,,
252,BRACS_1496,,
253,BRACS_1864,,
254,BRACS_1930,,
255,BRACS_1947,,
256,BRACS_1653,,
257,BRACS_1888,,
258,BRACS_1369,,
259,BRACS_755,,
260,BRACS_1497,,
261,BRACS_1491,,
262,BRACS_1514,,
263,BRACS_1367,,
264,BRACS_736,,
265,BRACS_1607,,
266,BRACS_737,,
267,BRACS_735,,
268,BRACS_3302,,
269,BRACS_1883,,
270,BRACS_1935,,
271,BRACS_1872,,
272,BRACS_1476,,
273,BRACS_1588,,
274,BRACS_1867,,
275,BRACS_1283,,
276,BRACS_1878,,
277,BRACS_1473,,
278,BRACS_1597,,
279,BRACS_1602,,
280,BRACS_1945,,
281,BRACS_1474,,
282,BRACS_1648,,
283,BRACS_1374,,
284,BRACS_734,,
285,BRACS_1003721,,
286,BRACS_756,,
287,BRACS_3290,,
288,BRACS_295,,
289,BRACS_759,,
290,BRACS_3291,,
291,BRACS_3289,,
292,BRACS_752,,
293,BRACS_3294,,
294,BRACS_1478,,
295,BRACS_1003732,,
296,BRACS_1812,,
297,BRACS_753,,
298,BRACS_1003731,,
299,BRACS_1288,,
300,BRACS_1827,,
301,BRACS_1810,,
302,BRACS_1358,,
303,BRACS_1652,,
304,BRACS_1484,,
305,BRACS_280,,
306,BRACS_3308,,
307,BRACS_3316,,
308,BRACS_1356,,
309,BRACS_3293,,
310,BRACS_1003722,,
311,BRACS_1649,,
312,BRACS_1233,,
313,BRACS_1487,,
314,BRACS_1831,,
315,BRACS_1003692,,
316,BRACS_1003709,,
317,BRACS_1636,,
318,BRACS_311,,
319,BRACS_1003670,,
320,BRACS_1516,,
321,BRACS_1638,,
322,BRACS_749,,
323,BRACS_1406,,
324,BRACS_1646,,
325,BRACS_1829,,
326,BRACS_1279,,
327,BRACS_1637,,
328,BRACS_1231,,
329,BRACS_1635,,
330,BRACS_1360,,
331,BRACS_1003684,,
332,BRACS_1407,,
333,BRACS_1235,,
334,BRACS_1654,,
335,BRACS_281,,
336,BRACS_1003698,,
337,BRACS_1003677,,
338,BRACS_1643,,
339,BRACS_1830,,
340,BRACS_1639,,
341,BRACS_773,,
342,BRACS_1003699,,
343,BRACS_1265,,
344,BRACS_1003667,,
345,BRACS_1984,,
346,BRACS_288,,
347,BRACS_3314,,
348,BRACS_1292,,
349,BRACS_1828,,
350,BRACS_298,,
351,BRACS_1003673,,
352,BRACS_3305,,
353,BRACS_1003703,,
354,BRACS_1003708,,
355,BRACS_1650,,
356,BRACS_297,,
357,BRACS_1647,,
358,BRACS_1289,,
359,BRACS_1003727,,
360,BRACS_1003723,,
361,BRACS_1357,,
362,BRACS_3319,,
363,BRACS_1477,,
364,BRACS_3321,,
365,BRACS_754,,
366,BRACS_748,,
367,BRACS_1277,,
368,BRACS_1272,,
369,BRACS_1263,,
370,BRACS_757,,
371,BRACS_3320,,
372,BRACS_1293,,
373,BRACS_738,,
374,BRACS_1393,,
375,BRACS_1392,,
376,BRACS_1798,,
377,BRACS_1394,,
378,BRACS_1362,,
379,BRACS_3301,,
380,BRACS_1368,,
381,BRACS_739,,
382,BRACS_740,,
383,BRACS_1395,,
384,BRACS_1361,,
385,BRACS_1578,,
386,BRACS_1823,,
387,BRACS_1587,,
388,BRACS_292,,
389,BRACS_310,,
390,BRACS_1580,,
391,BRACS_1826,,
392,BRACS_1414,,
393,BRACS_1411,,
394,BRACS_286,,
395,BRACS_305,,
396,BRACS_1817,,
397,BRACS_1590,,
398,BRACS_1284,,
399,BRACS_3323,,
400,BRACS_1510,,
401,BRACS_1968,,
402,BRACS_1838,,
403,BRACS_743,,
404,BRACS_1857,,
405,BRACS_1774,,
406,BRACS_1257,,
407,BRACS_1871,,
408,BRACS_1815,,
409,BRACS_1865,,
410,BRACS_1506,,
411,BRACS_1788,,
412,BRACS_1773,,
413,BRACS_1916,,
414,BRACS_1777,,
415,BRACS_1239,,
416,BRACS_1778,,
417,BRACS_1926,,
418,BRACS_1775,,
419,BRACS_1971,,
420,BRACS_1003693,,
421,BRACS_1799,,
422,BRACS_1975,,
423,BRACS_1886,,
424,BRACS_3285,,
425,BRACS_3266,,
426,BRACS_1937,,
427,BRACS_1936,,
428,BRACS_1813,,
429,BRACS_300,,
430,BRACS_1943,,
431,BRACS_2007,,
432,BRACS_1955,,
433,BRACS_1944,,
434,BRACS_1814,,
435,BRACS_1941,,
436,BRACS_1954,,
437,BRACS_1794,,
438,BRACS_1912,,
439,BRACS_1922,,
440,BRACS_1969,,
441,BRACS_1915,,
442,BRACS_1861,,
443,BRACS_1987,,
444,BRACS_1795,,
445,BRACS_1499,,
446,BRACS_1925,,
447,BRACS_1877,,
448,BRACS_3318,,
449,BRACS_1933,,
450,BRACS_1003728,,
451,BRACS_1932,,
452,BRACS_1882,,
453,BRACS_1808,,
454,BRACS_1486,,
455,BRACS_1860,,
456,BRACS_1622,,
457,BRACS_1934,,
458,BRACS_1911,,
459,BRACS_1899,,
460,BRACS_1379,,
461,BRACS_1494,,
462,BRACS_1885,,
463,BRACS_1271,,
464,BRACS_1953,,
465,BRACS_1977,,
466,BRACS_1982,,
467,BRACS_1797,,
468,BRACS_1983,,
469,BRACS_1876,,
470,BRACS_1503,,
471,BRACS_1844,,
472,BRACS_1228,,
473,BRACS_1003694,,
474,BRACS_1895,,
475,BRACS_1849,,
476,BRACS_1589,,
477,BRACS_1892,,
478,BRACS_1825,,
479,BRACS_1003691,,
480,BRACS_1896,,
481,BRACS_1833,,
482,BRACS_1492,,
483,BRACS_1875,,
